phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
70,26.005348682403564,6.501337170600891,6.538639545440674,3.8391299843788147,0.9597824960947037,1.1533339023590088
71,26.00672960281372,6.50168240070343,6.539111137390137,3.8489950299263,0.962248757481575,1.1561542749404907
72,26.007970809936523,6.501992702484131,6.5395355224609375,3.858004629611969,0.9645011574029922,1.1587214469909668
73,26.009082317352295,6.502270579338074,6.5399169921875,3.866224944591522,0.9665562361478806,1.161056637763977
74,26.010074615478516,6.502518653869629,6.540258884429932,3.8737184405326843,0.9684296101331711,1.1631795167922974
75,26.010955810546875,6.502738952636719,6.540563106536865,3.880543828010559,0.9701359570026398,1.165108323097229
76,26.011736392974854,6.502934098243713,6.540834903717041,3.886756181716919,0.9716890454292297,1.1668599843978882
77,26.01242446899414,6.503106117248535,6.541076183319092,3.8924070596694946,0.9731017649173737,1.168450117111206
78,26.013027667999268,6.503256916999817,6.541289329528809,3.8975440859794617,0.9743860214948654,1.1698929071426392
79,26.01355218887329,6.503388047218323,6.541476726531982,3.902211308479309,0.9755528271198273,1.171201467514038
80,26.01400661468506,6.503501653671265,6.5416412353515625,3.906449317932129,0.9766123294830322,1.1723878383636475
81,26.014394760131836,6.503598690032959,6.541784286499023,3.910295605659485,0.9775739014148712,1.1734628677368164
82,26.014724731445312,6.503681182861328,6.541908264160156,3.913785219192505,0.9784463047981262,1.1744369268417358
83,26.015000820159912,6.503750205039978,6.542015075683594,3.91694974899292,0.97923743724823,1.1753190755844116
84,26.0152268409729,6.503806710243225,6.542105197906494,3.9198179244995117,0.9799544811248779,1.1761175394058228
85,26.015408992767334,6.5038522481918335,6.542181015014648,3.922416627407074,0.9806041568517685,1.17684006690979
86,26.015549182891846,6.503887295722961,6.542243957519531,3.924770414829254,0.9811926037073135,1.177493691444397
87,26.015653133392334,6.5039132833480835,6.542294502258301,3.9269012212753296,0.9817253053188324,1.1780847311019897
88,26.015722274780273,6.503930568695068,6.542334079742432,3.9288294911384583,0.9822073727846146,1.1786189079284668
89,26.015761852264404,6.503940463066101,6.542364120483398,3.9305736422538757,0.9826434105634689,1.1791014671325684
90,26.015772819519043,6.503943204879761,6.542384624481201,3.9321507811546326,0.9830376952886581,1.1795371770858765
91,26.015758991241455,6.503939747810364,6.542397499084473,3.93357652425766,0.983394131064415,1.179930567741394
92,26.015722274780273,6.503930568695068,6.542402744293213,3.9348644614219666,0.9837161153554916,1.1802855730056763
93,26.015663623809814,6.503915905952454,6.542401313781738,3.9360278844833374,0.9840069711208344,1.1806056499481201
94,26.015586853027344,6.503896713256836,6.542393684387207,3.9370778799057007,0.9842694699764252,1.180894136428833
95,26.015492916107178,6.503873229026794,6.5423808097839355,3.9380252361297607,0.9845063090324402,1.1811540126800537
96,26.01538372039795,6.503845930099487,6.542363166809082,3.9388793110847473,0.9847198277711868,1.1813877820968628
97,26.015259265899658,6.5038148164749146,6.542340278625488,3.9396493434906006,0.9849123358726501,1.1815980672836304
98,26.01512336730957,6.503780841827393,6.542313575744629,3.940342605113983,0.9850856512784958,1.1817870140075684
99,26.01497507095337,6.503743767738342,6.542283058166504,3.9409666061401367,0.9852416515350342,1.1819566488265991
100,26.014817237854004,6.503704309463501,6.54224967956543,3.9415282011032104,0.9853820502758026,1.1821088790893555
101,26.0146484375,6.503662109375,6.54221248626709,3.9420326948165894,0.9855081737041473,1.1822452545166016
102,26.01447296142578,6.503618240356445,6.542173385620117,3.942485749721527,0.9856214374303818,1.1823673248291016
103,26.01428747177124,6.50357186794281,6.542130947113037,3.9428921341896057,0.9857230335474014,1.182476282119751
104,26.014095306396484,6.503523826599121,6.542086601257324,3.9432560205459595,0.9858140051364899,1.1825734376907349
105,26.01389741897583,6.5034743547439575,6.5420403480529785,3.943581998348236,0.985895499587059,1.1826601028442383
106,26.013694763183594,6.503423690795898,6.5419921875,3.9438732266426086,0.9859683066606522,1.182737112045288
107,26.013485431671143,6.503371357917786,6.541942119598389,3.9441334009170532,0.9860333502292633,1.1828054189682007
108,26.01327133178711,6.503317832946777,6.541890621185303,3.9443652033805847,0.9860913008451462,1.182865858078003
109,26.01305389404297,6.503263473510742,6.541837692260742,3.944571375846863,0.9861428439617157,1.1829191446304321
110,26.012831211090088,6.503207802772522,6.541783332824707,3.9447542428970337,0.9861885607242584,1.1829661130905151
111,26.012606143951416,6.503151535987854,6.5417280197143555,3.944916248321533,0.9862290620803833,1.1830071210861206
112,26.01237726211548,6.50309431552887,6.5416717529296875,3.9450592398643494,0.9862648099660873,1.1830428838729858
113,26.012146472930908,6.503036618232727,6.541614532470703,3.9451850056648254,0.9862962514162064,1.1830737590789795
114,26.011911869049072,6.502977967262268,6.5415568351745605,3.9452953934669495,0.9863238483667374,1.1831004619598389
115,26.011675357818604,6.502918839454651,6.541497707366943,3.945391595363617,0.9863478988409042,1.1831231117248535
116,26.011436462402344,6.502859115600586,6.541438102722168,3.9454747438430786,0.9863686859607697,1.1831421852111816
117,26.01119565963745,6.502798914909363,6.541378021240234,3.9455463886260986,0.9863865971565247,1.1831579208374023
